id,text,is_gaming_related,main_category,detailed_category
93,Just reached level 50 in Red Dead Redemption 2!,True,discuss_reference,game_discussion
94,The graphics in Cyberpunk 2077 are absolutely stunning,True,discuss_reference,game_discussion
95,Is Hogwarts Legacy worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
96,What's your favorite quest in The Legend of Zelda: Tears of the Kingdom?,True,discuss_reference,game_discussion
97,What's your favorite quest in Assassin's Creed Mirage?,True,discuss_reference,game_discussion
98,Is Street Fighter 6 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
99,The graphics in Animal Crossing: New Horizons are absolutely stunning,True,discuss_reference,game_discussion
100,Looking for people to play Fortnite with this weekend,True,discuss_reference,game_discussion
101,Is Mortal Kombat 1 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
102,Just started playing Resident Evil 4 Remake and I'm loving it so far!,True,discuss_reference,game_discussion
103,Is Minecraft worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
104,Just reached level 50 in Minecraft!,True,discuss_reference,game_discussion
105,Has anyone completed the main story in Assassin's Creed Mirage?,True,discuss_reference,game_discussion
106,What's your favorite quest in God of War Ragnarök?,True,discuss_reference,game_discussion
107,I can't believe Call of Duty: Modern Warfare III ended like that! What did you think?,True,discuss_reference,game_discussion
108,What's your favorite quest in Hogwarts Legacy?,True,discuss_reference,game_discussion
109,Has anyone completed the main story in Mortal Kombat 1?,True,discuss_reference,game_discussion
110,The Geralt of Rivia boss fight in Genshin Impact is so difficult,True,discuss_reference,game_discussion
111,The graphics in Mortal Kombat 1 are absolutely stunning,True,discuss_reference,game_discussion
112,Is Apex Legends worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
113,When is League of Legends getting its next update?,True,discuss_reference,game_discussion
114,I can't believe The Legend of Zelda: Tears of the Kingdom ended like that! What did you think?,True,discuss_reference,game_discussion
115,Is Diablo IV worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
116,The Commander Shepard boss fight in Hogwarts Legacy is so difficult,True,discuss_reference,game_discussion
117,Looking for people to play Animal Crossing: New Horizons with this weekend,True,discuss_reference,game_discussion
118,Just started playing Baldur's Gate 3 and I'm loving it so far!,True,discuss_reference,game_discussion
119,Looking for people to play Starfield with this weekend,True,discuss_reference,game_discussion
120,Has anyone completed the main story in Street Fighter 6?,True,discuss_reference,game_discussion
121,Is Street Fighter 6 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
122,Looking for people to play Alan Wake 2 with this weekend,True,discuss_reference,game_discussion
123,Just started playing League of Legends and I'm loving it so far!,True,discuss_reference,game_discussion
124,What's your favorite quest in Elden Ring?,True,discuss_reference,game_discussion
125,Is Final Fantasy XVI worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
126,Just reached level 50 in Hades II!,True,discuss_reference,game_discussion
127,Looking for people to play Final Fantasy XVI with this weekend,True,discuss_reference,game_discussion
128,What's your favorite quest in Red Dead Redemption 2?,True,discuss_reference,game_discussion
129,I can't believe Red Dead Redemption 2 ended like that! What did you think?,True,discuss_reference,game_discussion
130,The graphics in The Last of Us Part I are absolutely stunning,True,discuss_reference,game_discussion
131,What's your favorite quest in God of War Ragnarök?,True,discuss_reference,game_discussion
132,Just reached level 50 in Valorant!,True,discuss_reference,game_discussion
133,What's your favorite quest in Genshin Impact?,True,discuss_reference,game_discussion
134,Is Call of Duty: Modern Warfare III worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
135,I can't believe Among Us ended like that! What did you think?,True,discuss_reference,game_discussion
136,The Geralt of Rivia boss fight in Genshin Impact is so difficult,True,discuss_reference,game_discussion
137,Just started playing Cyberpunk 2077 and I'm loving it so far!,True,discuss_reference,game_discussion
138,When is Elden Ring getting its next update?,True,discuss_reference,game_discussion
139,Just started playing Doom Eternal and I'm loving it so far!,True,discuss_reference,game_discussion
140,I can't believe Red Dead Redemption 2 ended like that! What did you think?,True,discuss_reference,game_discussion
141,Is God of War Ragnarök worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
142,Is Alan Wake 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
143,Is League of Legends worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
144,I can't believe Genshin Impact ended like that! What did you think?,True,discuss_reference,game_discussion
145,I can't believe Genshin Impact ended like that! What did you think?,True,discuss_reference,game_discussion
146,I can't believe Doom Eternal ended like that! What did you think?,True,discuss_reference,game_discussion
147,Has anyone completed the main story in Baldur's Gate 3?,True,discuss_reference,game_discussion
148,Is The Legend of Zelda: Tears of the Kingdom worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
149,Looking for people to play Among Us with this weekend,True,discuss_reference,game_discussion
150,Looking for people to play Elden Ring with this weekend,True,discuss_reference,game_discussion
151,Has anyone completed the main story in Cyberpunk 2077?,True,discuss_reference,game_discussion
152,The Ellie boss fight in God of War Ragnarök is so difficult,True,discuss_reference,game_discussion
153,I can't believe Final Fantasy XVI ended like that! What did you think?,True,discuss_reference,game_discussion
154,Just started playing Baldur's Gate 3 and I'm loving it so far!,True,discuss_reference,game_discussion
155,Looking for people to play Final Fantasy XVI with this weekend,True,discuss_reference,game_discussion
156,Just started playing Doom Eternal and I'm loving it so far!,True,discuss_reference,game_discussion
157,I can't believe Minecraft ended like that! What did you think?,True,discuss_reference,game_discussion
158,Just reached level 50 in Spider-Man 2!,True,discuss_reference,game_discussion
159,What's your favorite quest in Final Fantasy XVI?,True,discuss_reference,game_discussion
160,When is Hogwarts Legacy getting its next update?,True,discuss_reference,game_discussion
161,Just reached level 50 in Valorant!,True,discuss_reference,game_discussion
162,Is Final Fantasy XVI worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
163,Just reached level 50 in Valorant!,True,discuss_reference,game_discussion
164,When is Horizon Forbidden West getting its next update?,True,discuss_reference,game_discussion
165,Just started playing Animal Crossing: New Horizons and I'm loving it so far!,True,discuss_reference,game_discussion
166,Just started playing Cyberpunk 2077 and I'm loving it so far!,True,discuss_reference,game_discussion
167,Just reached level 50 in The Last of Us Part I!,True,discuss_reference,game_discussion
168,Just reached level 50 in Assassin's Creed Mirage!,True,discuss_reference,game_discussion
169,Just started playing League of Legends and I'm loving it so far!,True,discuss_reference,game_discussion
170,Looking for people to play Mortal Kombat 1 with this weekend,True,discuss_reference,game_discussion
171,Just started playing Mortal Kombat 1 and I'm loving it so far!,True,discuss_reference,game_discussion
172,When is Final Fantasy XVI getting its next update?,True,discuss_reference,game_discussion
173,Just reached level 50 in Genshin Impact!,True,discuss_reference,game_discussion
174,When is Baldur's Gate 3 getting its next update?,True,discuss_reference,game_discussion
175,The graphics in Alan Wake 2 are absolutely stunning,True,discuss_reference,game_discussion
176,The Master Chief boss fight in Baldur's Gate 3 is so difficult,True,discuss_reference,game_discussion
177,Just started playing Horizon Forbidden West and I'm loving it so far!,True,discuss_reference,game_discussion
178,Just started playing Animal Crossing: New Horizons and I'm loving it so far!,True,discuss_reference,game_discussion
179,When is Alan Wake 2 getting its next update?,True,discuss_reference,game_discussion
180,Looking for people to play Elden Ring with this weekend,True,discuss_reference,game_discussion
181,Just reached level 50 in Animal Crossing: New Horizons!,True,discuss_reference,game_discussion
182,The Samus Aran boss fight in Among Us is so difficult,True,discuss_reference,game_discussion
183,Just reached level 50 in Among Us!,True,discuss_reference,game_discussion
184,When is Mortal Kombat 1 getting its next update?,True,discuss_reference,game_discussion
185,Has anyone completed the main story in Hogwarts Legacy?,True,discuss_reference,game_discussion
186,Just started playing Diablo IV and I'm loving it so far!,True,discuss_reference,game_discussion
187,The Mario boss fight in Genshin Impact is so difficult,True,discuss_reference,game_discussion
188,Looking for people to play Genshin Impact with this weekend,True,discuss_reference,game_discussion
189,Just started playing Doom Eternal and I'm loving it so far!,True,discuss_reference,game_discussion
190,The graphics in Final Fantasy XVI are absolutely stunning,True,discuss_reference,game_discussion
191,The Aloy boss fight in Starfield is so difficult,True,discuss_reference,game_discussion
192,I can't believe Animal Crossing: New Horizons ended like that! What did you think?,True,discuss_reference,game_discussion
193,What's your favorite quest in Final Fantasy XVI?,True,discuss_reference,game_discussion
194,When is Doom Eternal getting its next update?,True,discuss_reference,game_discussion
195,Is Spider-Man 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
196,Just reached level 50 in League of Legends!,True,discuss_reference,game_discussion
197,What's your favorite quest in Minecraft?,True,discuss_reference,game_discussion
198,Is Alan Wake 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
199,Is Cyberpunk 2077 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
200,The graphics in Minecraft are absolutely stunning,True,discuss_reference,game_discussion
201,When is Doom Eternal getting its next update?,True,discuss_reference,game_discussion
202,When is Cyberpunk 2077 getting its next update?,True,discuss_reference,game_discussion
203,The Mario boss fight in Valorant is so difficult,True,discuss_reference,game_discussion
204,Looking for people to play Animal Crossing: New Horizons with this weekend,True,discuss_reference,game_discussion
205,Has anyone completed the main story in Cyberpunk 2077?,True,discuss_reference,game_discussion
206,I can't believe The Legend of Zelda: Tears of the Kingdom ended like that! What did you think?,True,discuss_reference,game_discussion
207,Is Hades II worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
208,What's your favorite quest in Hogwarts Legacy?,True,discuss_reference,game_discussion
209,Just started playing Hades II and I'm loving it so far!,True,discuss_reference,game_discussion
210,When is Final Fantasy XVI getting its next update?,True,discuss_reference,game_discussion
211,I can't believe Final Fantasy XVI ended like that! What did you think?,True,discuss_reference,game_discussion
212,Is Fortnite worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
213,Has anyone completed the main story in Genshin Impact?,True,discuss_reference,game_discussion
214,Looking for people to play Valorant with this weekend,True,discuss_reference,game_discussion
215,The Cloud Strife boss fight in Alan Wake 2 is so difficult,True,discuss_reference,game_discussion
216,Looking for people to play Elden Ring with this weekend,True,discuss_reference,game_discussion
217,The Sonic the Hedgehog boss fight in Assassin's Creed Mirage is so difficult,True,discuss_reference,game_discussion
218,Just started playing The Last of Us Part I and I'm loving it so far!,True,discuss_reference,game_discussion
219,Looking for people to play Spider-Man 2 with this weekend,True,discuss_reference,game_discussion
220,Looking for people to play Final Fantasy XVI with this weekend,True,discuss_reference,game_discussion
221,The graphics in The Last of Us Part I are absolutely stunning,True,discuss_reference,game_discussion
222,When is Hogwarts Legacy getting its next update?,True,discuss_reference,game_discussion
223,Is Spider-Man 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
224,The graphics in League of Legends are absolutely stunning,True,discuss_reference,game_discussion
225,The Doom Slayer boss fight in Alan Wake 2 is so difficult,True,discuss_reference,game_discussion
226,What's your favorite quest in Mortal Kombat 1?,True,discuss_reference,game_discussion
227,Has anyone completed the main story in Doom Eternal?,True,discuss_reference,game_discussion
228,Looking for people to play Spider-Man 2 with this weekend,True,discuss_reference,game_discussion
229,The Doom Slayer boss fight in Hades II is so difficult,True,discuss_reference,game_discussion
230,What's your favorite quest in Hades II?,True,discuss_reference,game_discussion
231,When is League of Legends getting its next update?,True,discuss_reference,game_discussion
232,When is Final Fantasy XVI getting its next update?,True,discuss_reference,game_discussion
233,The Tracer boss fight in Minecraft is so difficult,True,discuss_reference,game_discussion
234,I can't believe Baldur's Gate 3 ended like that! What did you think?,True,discuss_reference,game_discussion
235,Looking for people to play Among Us with this weekend,True,discuss_reference,game_discussion
236,What's your favorite quest in Hogwarts Legacy?,True,discuss_reference,game_discussion
237,The graphics in Animal Crossing: New Horizons are absolutely stunning,True,discuss_reference,game_discussion
238,I can't believe Resident Evil 4 Remake ended like that! What did you think?,True,discuss_reference,game_discussion
239,Is Doom Eternal worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
240,What's your favorite quest in Resident Evil 4 Remake?,True,discuss_reference,game_discussion
241,The Kratos boss fight in Among Us is so difficult,True,discuss_reference,game_discussion
242,I can't believe Mortal Kombat 1 ended like that! What did you think?,True,discuss_reference,game_discussion
243,Just started playing Final Fantasy XVI and I'm loving it so far!,True,discuss_reference,game_discussion
244,Is Diablo IV worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
245,Has anyone completed the main story in Animal Crossing: New Horizons?,True,discuss_reference,game_discussion
246,I can't believe God of War Ragnarök ended like that! What did you think?,True,discuss_reference,game_discussion
247,Has anyone completed the main story in Starfield?,True,discuss_reference,game_discussion
248,Is Hades II worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
249,Is Call of Duty: Modern Warfare III worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
250,What's your favorite quest in Call of Duty: Modern Warfare III?,True,discuss_reference,game_discussion
251,Has anyone completed the main story in Minecraft?,True,discuss_reference,game_discussion
252,Looking for people to play Genshin Impact with this weekend,True,discuss_reference,game_discussion
253,I can't believe Cyberpunk 2077 ended like that! What did you think?,True,discuss_reference,game_discussion
254,Just started playing Assassin's Creed Mirage and I'm loving it so far!,True,discuss_reference,game_discussion
255,Is Red Dead Redemption 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
256,The Nathan Drake boss fight in God of War Ragnarök is so difficult,True,discuss_reference,game_discussion
257,Has anyone completed the main story in Call of Duty: Modern Warfare III?,True,discuss_reference,game_discussion
258,What's your favorite quest in Among Us?,True,discuss_reference,game_discussion
259,I can't believe Hades II ended like that! What did you think?,True,discuss_reference,game_discussion
260,I can't believe God of War Ragnarök ended like that! What did you think?,True,discuss_reference,game_discussion
261,Is Mortal Kombat 1 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
262,The graphics in Alan Wake 2 are absolutely stunning,True,discuss_reference,game_discussion
263,Just reached level 50 in Cyberpunk 2077!,True,discuss_reference,game_discussion
264,I can't believe Animal Crossing: New Horizons ended like that! What did you think?,True,discuss_reference,game_discussion
265,I can't believe Among Us ended like that! What did you think?,True,discuss_reference,game_discussion
266,The graphics in Doom Eternal are absolutely stunning,True,discuss_reference,game_discussion
267,The graphics in Minecraft are absolutely stunning,True,discuss_reference,game_discussion
268,When is Alan Wake 2 getting its next update?,True,discuss_reference,game_discussion
269,When is Street Fighter 6 getting its next update?,True,discuss_reference,game_discussion
270,Is Diablo IV worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
271,The Lara Croft boss fight in League of Legends is so difficult,True,discuss_reference,game_discussion
272,What's your favorite quest in Horizon Forbidden West?,True,discuss_reference,game_discussion
273,Looking for people to play Mortal Kombat 1 with this weekend,True,discuss_reference,game_discussion
274,The graphics in Hogwarts Legacy are absolutely stunning,True,discuss_reference,game_discussion
275,Has anyone completed the main story in Minecraft?,True,discuss_reference,game_discussion
276,I can't believe Valorant ended like that! What did you think?,True,discuss_reference,game_discussion
277,Is Assassin's Creed Mirage worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
278,The Link boss fight in Alan Wake 2 is so difficult,True,discuss_reference,game_discussion
279,What's your favorite quest in Among Us?,True,discuss_reference,game_discussion
280,Looking for people to play Elden Ring with this weekend,True,discuss_reference,game_discussion
281,The Nathan Drake boss fight in Hogwarts Legacy is so difficult,True,discuss_reference,game_discussion
282,What's your favorite quest in Call of Duty: Modern Warfare III?,True,discuss_reference,game_discussion
283,When is Minecraft getting its next update?,True,discuss_reference,game_discussion
284,What's your favorite quest in Mortal Kombat 1?,True,discuss_reference,game_discussion
285,Just reached level 50 in Mortal Kombat 1!,True,discuss_reference,game_discussion
286,Is Call of Duty: Modern Warfare III worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
287,I can't believe Street Fighter 6 ended like that! What did you think?,True,discuss_reference,game_discussion
288,Has anyone completed the main story in Street Fighter 6?,True,discuss_reference,game_discussion
289,The graphics in Apex Legends are absolutely stunning,True,discuss_reference,game_discussion
290,Has anyone completed the main story in Hogwarts Legacy?,True,discuss_reference,game_discussion
291,Looking for people to play Red Dead Redemption 2 with this weekend,True,discuss_reference,game_discussion
292,What's your favorite quest in Mortal Kombat 1?,True,discuss_reference,game_discussion
293,Just started playing Baldur's Gate 3 and I'm loving it so far!,True,discuss_reference,game_discussion
294,The Tracer boss fight in Final Fantasy XVI is so difficult,True,discuss_reference,game_discussion
295,I can't believe Baldur's Gate 3 ended like that! What did you think?,True,discuss_reference,game_discussion
296,Looking for people to play Cyberpunk 2077 with this weekend,True,discuss_reference,game_discussion
297,The Link boss fight in The Legend of Zelda: Tears of the Kingdom is so difficult,True,discuss_reference,game_discussion
298,Looking for people to play Genshin Impact with this weekend,True,discuss_reference,game_discussion
299,Just reached level 50 in Apex Legends!,True,discuss_reference,game_discussion
300,Just reached level 50 in Elden Ring!,True,discuss_reference,game_discussion
301,The graphics in Resident Evil 4 Remake are absolutely stunning,True,discuss_reference,game_discussion
302,When is Resident Evil 4 Remake getting its next update?,True,discuss_reference,game_discussion
303,Just reached level 50 in Among Us!,True,discuss_reference,game_discussion
304,I can't believe The Last of Us Part I ended like that! What did you think?,True,discuss_reference,game_discussion
305,I can't believe The Legend of Zelda: Tears of the Kingdom ended like that! What did you think?,True,discuss_reference,game_discussion
306,The graphics in The Last of Us Part I are absolutely stunning,True,discuss_reference,game_discussion
307,The Cloud Strife boss fight in League of Legends is so difficult,True,discuss_reference,game_discussion
308,Looking for people to play Elden Ring with this weekend,True,discuss_reference,game_discussion
309,When is The Last of Us Part I getting its next update?,True,discuss_reference,game_discussion
310,I can't believe Apex Legends ended like that! What did you think?,True,discuss_reference,game_discussion
311,What's your favorite quest in Diablo IV?,True,discuss_reference,game_discussion
312,The graphics in Fortnite are absolutely stunning,True,discuss_reference,game_discussion
313,What's your favorite quest in Red Dead Redemption 2?,True,discuss_reference,game_discussion
314,Just reached level 50 in Fortnite!,True,discuss_reference,game_discussion
315,The Samus Aran boss fight in Hades II is so difficult,True,discuss_reference,game_discussion
316,Just reached level 50 in Starfield!,True,discuss_reference,game_discussion
317,Looking for people to play Cyberpunk 2077 with this weekend,True,discuss_reference,game_discussion
318,Has anyone completed the main story in Street Fighter 6?,True,discuss_reference,game_discussion
319,What's your favorite quest in Valorant?,True,discuss_reference,game_discussion
320,Just reached level 50 in Doom Eternal!,True,discuss_reference,game_discussion
321,Just started playing God of War Ragnarök and I'm loving it so far!,True,discuss_reference,game_discussion
322,I can't believe Mortal Kombat 1 ended like that! What did you think?,True,discuss_reference,game_discussion
323,The graphics in Genshin Impact are absolutely stunning,True,discuss_reference,game_discussion
324,Just started playing The Last of Us Part I and I'm loving it so far!,True,discuss_reference,game_discussion
325,The graphics in Apex Legends are absolutely stunning,True,discuss_reference,game_discussion
326,I can't believe God of War Ragnarök ended like that! What did you think?,True,discuss_reference,game_discussion
327,Has anyone completed the main story in Elden Ring?,True,discuss_reference,game_discussion
328,Is Elden Ring worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
329,The graphics in The Legend of Zelda: Tears of the Kingdom are absolutely stunning,True,discuss_reference,game_discussion
330,Just reached level 50 in Assassin's Creed Mirage!,True,discuss_reference,game_discussion
331,Just reached level 50 in Doom Eternal!,True,discuss_reference,game_discussion
332,I can't believe Elden Ring ended like that! What did you think?,True,discuss_reference,game_discussion
333,The Mario boss fight in Street Fighter 6 is so difficult,True,discuss_reference,game_discussion
334,Looking for people to play Mortal Kombat 1 with this weekend,True,discuss_reference,game_discussion
335,Just started playing League of Legends and I'm loving it so far!,True,discuss_reference,game_discussion
336,Has anyone completed the main story in Starfield?,True,discuss_reference,game_discussion
337,Just started playing Mortal Kombat 1 and I'm loving it so far!,True,discuss_reference,game_discussion
338,I can't believe Genshin Impact ended like that! What did you think?,True,discuss_reference,game_discussion
339,When is Alan Wake 2 getting its next update?,True,discuss_reference,game_discussion
340,Looking for people to play Among Us with this weekend,True,discuss_reference,game_discussion
341,Looking for people to play Diablo IV with this weekend,True,discuss_reference,game_discussion
342,Has anyone completed the main story in Call of Duty: Modern Warfare III?,True,discuss_reference,game_discussion
343,When is Street Fighter 6 getting its next update?,True,discuss_reference,game_discussion
344,The Ezio Auditore boss fight in The Last of Us Part I is so difficult,True,discuss_reference,game_discussion
345,I can't believe The Last of Us Part I ended like that! What did you think?,True,discuss_reference,game_discussion
346,When is Hogwarts Legacy getting its next update?,True,discuss_reference,game_discussion
347,When is Red Dead Redemption 2 getting its next update?,True,discuss_reference,game_discussion
348,The Ellie boss fight in Alan Wake 2 is so difficult,True,discuss_reference,game_discussion
